"","Country","Points_transfer","Points_fifa","Points_elo","zscore_transfer","zscore_fifa","zscore_elo","overall_zscore"
"1","Argentina",699,1241.45,1918,1.13,1.09,0.61,0.94
"2","Australia",50.25,718.33,1713,-0.85,-0.75,-0.79,-0.8
"3","Belgium",754,1298.32,1971,1.3,1.29,0.98,1.19
"4","Brazil",981,1430.57,2131,1.99,1.76,2.08,1.94
"5","Colombia",251.1,985.97,1920,-0.24,0.19,0.63,0.19
"6","Costa Rica",40,884.04,1709,-0.88,-0.16,-0.82,-0.62
"7","Croatia",364,945.18,1956,0.11,0.05,0.88,0.35
"8","Denmark",259.3,1051.44,1890,-0.21,0.42,0.42,0.21
"9","Egypt",197.23,649.43,1575,-0.4,-0.99,-1.74,-1.04
"10","England",874,1050.84,1974,1.66,0.42,1,1.03
"11","France",1080,1198.13,2007,2.29,0.94,1.23,1.49
"12","Germany",883,1558.49,2044,1.69,2.21,1.48,1.79
"13","Iceland",76,908.01,1708,-0.77,-0.08,-0.83,-0.56
"14","Iran",48.3,708.35,1816,-0.85,-0.78,-0.09,-0.57
"15","Japan",75.6,520.75,1737,-0.77,-1.44,-0.63,-0.95
"16","Mexico",154.6,989.44,1911,-0.53,0.21,0.57,0.08
"17","Morocco",129.45,685.86,1720,-0.61,-0.86,-0.75,-0.74
"18","Nigeria",134.85,617.79,1702,-0.59,-1.1,-0.87,-0.85
"19","Panama",8.23,571.17,1625,-0.98,-1.26,-1.4,-1.21
"20","Peru",38.53,1125.39,1890,-0.88,0.68,0.42,0.07
"21","Poland",274.55,1182.61,1754,-0.16,0.89,-0.51,0.07
"22","Portugal",494.5,1273.69,1972,0.51,1.21,0.99,0.9
"23","Russia",161.83,456.53,1692,-0.51,-1.67,-0.94,-1.04
"24","Saudi Arabia",18.83,465.28,1588,-0.94,-1.64,-1.65,-1.41
"25","Senegal",299.5,837.98,1782,-0.09,-0.33,-0.32,-0.25
"26","Serbia",280.45,750.75,1783,-0.15,-0.63,-0.31,-0.36
"27","South Korea",87.53,543.67,1677,-0.74,-1.36,-1.04,-1.05
"28","Spain",1030,1125.5,2028,2.14,0.69,1.37,1.4
"29","Sweden",119.75,879.9,1804,-0.64,-0.18,-0.17,-0.33
"30","Switzerland",218.1,1198.72,1930,-0.34,0.94,0.7,0.43
"31","Tunisia",58.88,909.91,1633,-0.82,-0.07,-1.34,-0.74
"32","Uruguay",373,1018.41,1954,0.14,0.31,0.86,0.44
